Sample Name,Sample Description,Sample ID,Run ID,Experiment type,Instrument model,Release version,
"CON-016","Human gut metagenome, sample CON-016","SRS294812","SRR413556","metagenomic","Illumina Genome Analyzer II",1.0,
"CON-032","Human gut metagenome, sample CON-032","SRS294813","SRR413557","metagenomic","Illumina Genome Analyzer II",1.0,
"CON-033","Human gut metagenome, sample CON-033","SRS294814","SRR413558","metagenomic","Illumina Genome Analyzer II",1.0,
"CON-034","Human gut metagenome, sample CON-034","SRS294815","SRR413559","metagenomic","Illumina Genome Analyzer II",1.0,
"CON-017","Human gut metagenome, sample CON-017","SRS294816","SRR413560","metagenomic","Illumina Genome Analyzer II",1.0,
"CON-035","Human gut metagenome, sample CON-035","SRS294817","SRR413561","metagenomic","Illumina Genome Analyzer II",1.0,
"CON-036","Human gut metagenome, sample CON-036","SRS294818","SRR413562","metagenomic","Illumina Genome Analyzer II",1.0,
"CON-037","Human gut metagenome, sample CON-037","SRS294819","SRR413563","metagenomic","Illumina Genome Analyzer II",1.0,
"CON-001","Human gut metagenome, sample CON-001","SRS294820","SRR413564","metagenomic","Illumina Genome Analyzer II",1.0,
"CON-038","Human gut metagenome, sample CON-038","SRS294821","SRR413565","metagenomic","Illumina Genome Analyzer II",1.0,
"CON-018","Human gut metagenome, sample CON-018","SRS294822","SRR413566","metagenomic","Illumina Genome Analyzer II",1.0,
"T2D-016","Human gut metagenome, sample T2D-016","SRS294823","SRR413567","metagenomic","Illumina Genome Analyzer II",1.0,
"T2D-017","Human gut metagenome, sample T2D-017","SRS294824","SRR413568","metagenomic","Illumina Genome Analyzer II",1.0,
"T2D-018","Human gut metagenome, sample T2D-018","SRS294825","SRR413569","metagenomic","Illumina Genome Analyzer II",1.0,
"T2D-019","Human gut metagenome, sample T2D-019","SRS294826","SRR413570","metagenomic","Illumina Genome Analyzer II",1.0,
"T2D-020","Human gut metagenome, sample T2D-020","SRS294827","SRR413571","metagenomic","Illumina Genome Analyzer II",1.0,
"T2D-021","Human gut metagenome, sample T2D-021","SRS294828","SRR413572","metagenomic","Illumina Genome Analyzer II",1.0,
"T2D-071","Human gut metagenome, sample T2D-071","SRS294829","SRR413573","metagenomic","Illumina Genome Analyzer II",1.0,
"T2D-022","Human gut metagenome, sample T2D-022","SRS294830","SRR413574","metagenomic","Illumina Genome Analyzer II",1.0,
"CON-081","Human gut metagenome, sample CON-081","SRS294831","SRR413575","metagenomic","Illumina Genome Analyzer II",1.0,
"CON-082","Human gut metagenome, sample CON-082","SRS294832","SRR413576","metagenomic","Illumina Genome Analyzer II",1.0,
"CON-019","Human gut metagenome, sample CON-019","SRS294833","SRR413577","metagenomic","Illumina Genome Analyzer II",1.0,
"CON-039","Human gut metagenome, sample CON-039","SRS294834","SRR413578","metagenomic","Illumina Genome Analyzer II",1.0,
"CON-002","Human gut metagenome, sample CON-002","SRS294835","SRR413579","metagenomic","Illumina Genome Analyzer II",1.0,
"CON-083","Human gut metagenome, sample CON-083","SRS294836","SRR413580","metagenomic","Illumina Genome Analyzer II",1.0,
"CON-084","Human gut metagenome, sample CON-084","SRS294837","SRR413581","metagenomic","Illumina Genome Analyzer II",1.0,
"CON-003","Human gut metagenome, sample CON-003","SRS294838","SRR413582","metagenomic","Illumina Genome Analyzer II",1.0,
"CON-040","Human gut metagenome, sample CON-040","SRS294839","SRR413583","metagenomic","Illumina Genome Analyzer II",1.0,
"CON-041","Human gut metagenome, sample CON-041","SRS294840","SRR413584","metagenomic","Illumina Genome Analyzer II",1.0,
"CON-042","Human gut metagenome, sample CON-042","SRS294841","SRR413585","metagenomic","Illumina Genome Analyzer II",1.0,
"CON-043","Human gut metagenome, sample CON-043","SRS294842","SRR413586","metagenomic","Illumina Genome Analyzer II",1.0,
"CON-004","Human gut metagenome, sample CON-004","SRS294843","SRR413587","metagenomic","Illumina Genome Analyzer II",1.0,
"CON-044","Human gut metagenome, sample CON-044","SRS294844","SRR413588","metagenomic","Illumina Genome Analyzer II",1.0,
"CON-085","Human gut metagenome, sample CON-085","SRS294845","SRR413589","metagenomic","Illumina Genome Analyzer II",1.0,
"CON-020","Human gut metagenome, sample CON-020","SRS294846","SRR413590","metagenomic","Illumina Genome Analyzer II",1.0,
"T2D-046","Human gut metagenome, sample T2D-046","SRS294847","SRR413591","metagenomic","Illumina Genome Analyzer II",1.0,
"CON-045","Human gut metagenome, sample CON-045","SRS294848","SRR413592","metagenomic","Illumina Genome Analyzer II",1.0,
"CON-046","Human gut metagenome, sample CON-046","SRS294849","SRR413593","metagenomic","Illumina Genome Analyzer II",1.0,
"CON-086","Human gut metagenome, sample CON-086","SRS294850","SRR413594","metagenomic","Illumina Genome Analyzer II",1.0,
"CON-087","Human gut metagenome, sample CON-087","SRS294851","SRR413595","metagenomic","Illumina Genome Analyzer II",1.0,
"CON-047","Human gut metagenome, sample CON-047","SRS294852","SRR413596","metagenomic","Illumina Genome Analyzer II",1.0,
"CON-088","Human gut metagenome, sample CON-088","SRS294853","SRR413597","metagenomic","Illumina Genome Analyzer II",1.0,
