		SRR341581	SRR341582	SRR341583	SRR341584	SRR341585	SRR341586	SRR341587	SRR341588	SRR341589	SRR341590	SRR341591	SRR341592	SRR341593	SRR341594	SRR341595	SRR341596	SRR341597	SRR341598	SRR341599	SRR341600	SRR341601	SRR341602	SRR341603	SRR341604	SRR341605	SRR341606	SRR341607	SRR341608	SRR341609	SRR341610	SRR341611	SRR341612	SRR341613	SRR341614	SRR341615	SRR341616	SRR341617	SRR341618	SRR341619	SRR341620	SRR341621	SRR341622	SRR341623	SRR341624	SRR341625	SRR341626	SRR341627	SRR341628	SRR341629	SRR341630	SRR341631	SRR341632	SRR341633	SRR341634	SRR341635	SRR341636	SRR341637	SRR341638	SRR341639	SRR341640	SRR341641	SRR341642	SRR341643	SRR341644	SRR341645	SRR341646	SRR341647	SRR341648	SRR341649	SRR341650	SRR341651	SRR341652	SRR341653	SRR341654	SRR341655	SRR341656	SRR341657	SRR341658	SRR341659	SRR341660	SRR341661	SRR341662	SRR341663	SRR341664	SRR341665	SRR341666	SRR341667	SRR341668	SRR341669	SRR341670	SRR341671	SRR341672	SRR341673	SRR341674	SRR341675	SRR341676	SRR341677	SRR341678	SRR341679	SRR341680	SRR341681	SRR341682	SRR341683	SRR341684	SRR341685	SRR341686	SRR341687	SRR341688	SRR341689	SRR341690	SRR341691	SRR341692	SRR341693	SRR341694	SRR341695	SRR341696	SRR341697	SRR341698	SRR341699	SRR341700	SRR341701	SRR341702	SRR341703	SRR341704	SRR341705	SRR341706	SRR341707	SRR341708	SRR341709	SRR341710	SRR341711	SRR341712	SRR341713	SRR341714	SRR341715	SRR341716	SRR341717	SRR341718	SRR341719	SRR341720	SRR341721	SRR341722	SRR341723	SRR341724	SRR341725	SRR413556	SRR413557	SRR413558	SRR413559	SRR413560	SRR413561	SRR413562	SRR413563	SRR413564	SRR413565	SRR413566	SRR413567	SRR413568	SRR413569	SRR413570	SRR413571	SRR413572	SRR413573	SRR413574	SRR413575	SRR413576	SRR413577	SRR413578	SRR413579	SRR413580	SRR413581	SRR413582	SRR413583	SRR413584	SRR413585	SRR413586	SRR413587	SRR413588	SRR413589	SRR413590	SRR413591	SRR413592	SRR413593	SRR413594	SRR413595	SRR413596	SRR413597	SRR413598	SRR413599	SRR413600	SRR413601	SRR413602	SRR413603	SRR413604	SRR413605	SRR413606	SRR413607	SRR413608	SRR413609	SRR413610	SRR413611	SRR413612	SRR413613	SRR413614	SRR413615	SRR413616	SRR413617	SRR413618	SRR413619	SRR413620	SRR413621	SRR413622	SRR413623	SRR413624	SRR413625	SRR413626	SRR413627	SRR413628	SRR413629	SRR413630	SRR413631	SRR413632	SRR413633	SRR413634	SRR413635	SRR413636	SRR413637	SRR413638	SRR413639	SRR413640	SRR413641	SRR413642	SRR413643	SRR413644	SRR413645	SRR413646	SRR413647	SRR413648	SRR413649	SRR413650	SRR413651	SRR413652	SRR413653	SRR413654	SRR413655	SRR413656	SRR413657	SRR413658	SRR413659	SRR413660	SRR413661	SRR413662	SRR413663	SRR413664	SRR413665	SRR413666	SRR413667	SRR413668	SRR413669	SRR413670	SRR413671	SRR413672	SRR413673	SRR413674	SRR413675	SRR413676	SRR413677	SRR413678	SRR413679	SRR413680	SRR413681	SRR413682	SRR413683	SRR413684	SRR413685	SRR413686	SRR413687	SRR413688	SRR413689	SRR413690	SRR413691	SRR413692	SRR413693	SRR413694	SRR413695	SRR413696	SRR413697	SRR413698	SRR413699	SRR413700	SRR413701	SRR413702	SRR413703	SRR413704	SRR413705	SRR413706	SRR413707	SRR413708	SRR413709	SRR413710	SRR413711	SRR413712	SRR413713	SRR413714	SRR413715	SRR413716	SRR413717	SRR413718	SRR413719	SRR413720	SRR413721	SRR413722	SRR413723	SRR413724	SRR413725	SRR413726	SRR413727	SRR413728	SRR413729	SRR413730	SRR413731	SRR413732	SRR413733	SRR413734	SRR413735	SRR413736	SRR413737	SRR413738	SRR413739	SRR413740	SRR413741	SRR413742	SRR413743	SRR413744	SRR413745	SRR413746	SRR413747	SRR413748	SRR413749	SRR413750	SRR413751	SRR413752	SRR413753	SRR413754	SRR413755	SRR413756	SRR413757	SRR413758	SRR413759	SRR413760	SRR413761	SRR413762	SRR413763	SRR413764	SRR413765	SRR413766	SRR413767	SRR413768	SRR413769	SRR413770	SRR413771	SRR413772	SRR413773
sip	Adlercreutzia equolifaciens			1.307692308																1.394736842							1.181818182									1.32																		1.333558428		1.25		1.285714286				1							1.25								1.210526316						1.000240976					1			1.454545455					1.181818182							1											1									1.166666667							1.083333333		1.141025641	1.5								1.368421053							1.001459915						1.571428571	1.236092989		1.5625			1.142857143	1.133333333		1.199131283			1.363636364									1.411764706		1.508040579													1.333333333													1.142857143	1		1.021677137						1.105263158	1	1.135964912	1.083333333	1.0625			1.363636364	1.095238095	1.146341463		1.5		1.166666667		1.1		1.4						1.214285714	1.2	1.307692308	1.111111111			1.25		1.090909091	1.192307692		1.217391304	1.333333333			1.078650614	1.333333333			1.25	1.411764706		1.285714286							1.538642979			1.2	1.5			1			1.454545455							1.369565217			1.098901099			1.375															1.333333333			1.477321208				1.444444444						1.037037037		1.121174315	1.100863463		1.2				1.142857143		1.353927595		1.307692308		1.6				1.461538462	1.52173913	1.476190476			1.4375			1.428571429		1.15770602	1.639748902							1.350877193	1.5				1.25	1.249747772				1.1	1.2	
rbr	Akkermansia muciniphila			1.283260357						1.103448276	1							1.178571429		1.033333333																				1.2															1.1875							1.333333333													1.191185083											1.206300476	1.319439677	1.233108108		1.309278351	1.11002445				1.262210095		1.142857143								1.231788079			1.239858907					1.277777778			1.217391304				1.25401591							1.352941176									1.4						1.421800948						1.251244913					1.215053763		1.212865835																																																1.285714286		1.22972973	1.210638462								1.196721311						1.186585366		1.309093983																						1.5			1.146885813							1.4						1.198551728					1.191346476		1.174931116			1.291529723		1.19810186		1.208349479												1.36		1.307692308														1.092592593																		1.155846352						1.267857143				1.120832116						1.219928197					1.242062879	1.288209607			1.201538196				1.070870743			1.268791112									1.249543765	1.196407961		
rum	Alistipes finegoldii			1						1	1.000435906			1.071428571	1.166666667	1	1			1.096175104			1.015625						1	1.117869735				1.036585366		1.079207921		1						1			1.046976832		1.125		1							1.120689655		1.020830704			1.041666667				1.097076832	1	1.074074074						1.022946321		1.040816327		1				1.076923077			1.06725293					1.071831356	1.04787234			1.04622871								1		1		1	1	1			1					1.0029138			1	1.005525266	1	1.115480403		1	1	1	1		1.015943118	1.049180328						1.125					1.028571429						1.000876433	1		1		1.037383178		1.087431001	1.021655836	1									1				1.063794629	1.057142857	1	1.076923077		1.105882353	1.136363636	1.064516129		1.021460258	1.125	1.098478471	1.024154589					1.056451613				1.076480152										1		1		1.019230769		1								1						1									1	1				1.055555556												1												1.03125	1.10948367					1.068682708				1.034482759			1.010711252	1.093385118	1.068120372			1.027027027				1.023762505	1.052631579		1		1.043026196		1.036585366				1.064988825	1.095772974						1.069229624	1.078651685	1.109760387		1.057182304						1.067010501			1			1	1		1.036306038			1.005174975				1.039382162	1.040652538				1.052081027						1.08				1	1.058853692	1.036181136	1						1.03198115				1.1		1			1.052855255		1.060606061	1.02544926	1.006471958	1.045652762	1
rho	Alistipes shahii		1.013422819	1.114715172	1.159090909	1.083333333	1.084433878			1.032786885	1.111111111	1.040229885		1.1171875	1.25	1.061403509	1.049049709		1.111136993	1.038833265		1.046614123	1.105263158						1.116071429	1.066115702	1.096308463	1.09375	1.093548387	1.175761549	1.088888889	1.016949153	1.202702703		1.204545455	1.117647059	1.099606006	1.153061224		1.131138297		1.170731707	1.044957606	1.049342105	1.173913043		1.134020619		1.085050976	1.152107091		1.103960396		1.088297504				1.051512174				1.214285714	1.071463288	1.096774194	1.125	1.259259259	1.119839568				1		1.046011808		1.047297297	1.069767442		1.04040404	1.106266034		1.126387937	1.145965143	1.053783258	1.050295858		1.2	1.114507189	1.090909091			1.069444444		1.098591549			1.129887136			1.154181459	1.10680101	1.166666667	1.134385198		1.056179775	1.174086834		1.079717549	1.14692626		1.132653061			1.208333333		1.206896552	1.175631067	1.192307692	1.21875	1.104713839			1.2	1.050010499	1.244291474	1.166666667	1.060593716	1.021367521	1.06913795	1				1.108108108		1.1276985		1.186138775	1.109756098	1.036031254				1.142857143	1.066877562	1.162402081	1.112406495	1.125	1.066666667	1.090938919	1.243902439	1.099471853	1.128429902	1.070156903		1.138797702	1.069701996			1.074441278		1.15	1.141509434	1.199870668	1.153846154		1.186666667	1.138719512	1.149148774	1.057377049		1.069921438		1.155172414		1.118460199	1.097638081	1.14899953	1.097081829			1.136363636		1.096774194		1			1.127659574		1.125	1		1.169117647	1.073687122				1.083333333	1.036488191			1.049415124	1.154506438		1.027006605	1.103653195		1.108681688		1.077536182	1.122047244	1.105763607		1.094059406	1.114583333	1.08482918	1.138601315	1.119047619	1.032258065		1.155648688		1.08760383		1.222222222	1.121471172			1.2		1.162410849	1.006244982	1.04643519				1.070886076	1.222222222	1.089547373		1.25	1.217391304	1.004024145			1.03900701	1.105263158	1.157894737		1.169491525	1.186046512		1.128526646	1.083333333	1.055648075	1.061443567		1	1.136363636		1.056722805		1.042735043	1.092645539	1.073529412	1.088119662	1.209958161	1.069036326	1.232142857	1.067737385			1.017699115	1.090909091			1.035787931		1.154545455	1.094853756	1.112707721	1.209018197		1.071064841			1.142512193	1.064441615	1.121621622					1.333333333		1.057971014	1.089285714	1.126984127			1.049113098		1.133333333			1.222419758	1.152744996		1.101247214	1.20100299	1.044350626		1.126224129	1.032250541		1.05047038	1.087987708		1.054422452							1.049052887	1.149797571	1	1.156651437		1.090909091	1.01039697		1.020408163	1.060465116	1.057299174	1.099723024	1.107904481			1.075798901	1.386356241				1.181416646		1.043561775	1.046924078		1.116022099			1.054223918		1.150680208	1	1.1411604	1.02752804	1.104046243
cct	Bacteroides fragilis		1.23782235		1.1875		1.24557148	1.17279543	1.210939688		1.348623853	1.25002637			1.35	1.263157895		1.586734694	1.416666667				1.155092593			1.355966858			1.25		1.166666667		1.5		1.283425489	1.308823529	1.442073171	1.448780488	1.166747486		1.166666667	1.316176471	1.301886792		1.19058296		1.276309421	1.291666667	1.4				1.415657814	1.299868064			1.186130726		1.221030043	1.689120887		1.333333333		1.384654202	1.42319806		1.363791256			1.553208257	1.392150139	1.403433476		1.411823647	1.189952396	1.5	1.243495432		1.267038265	1.277268094	1.302257571	1.357142857				1.6			1.268399126	1.378710338		1.225806452		1.402597403		1.29787234	1.194221509			1.310908351		1.222628238		1.352941176		1.367298967		1.299983989	1.351158645	1.44047619			1.445777393		1.5		1.478828538	1.779958359	1.352167448			1.390625		1.5625	1.392025184	1.352130948					1.195121951	1.277777778	1.338709677	1.35			1.409883721	1.25369039							1.231884058	1.51497006		1.307692308		1.329746187			1.25		1.20883071			1.293968496		1.277991223	1.341463909	1.770086745	1.336746311	1.209922287	1.410407738		1.351021305										1.197002141			1.28					1.428571429		1.171553239		1.232851491	1.290160195				1.365358821	1.370870976	1.401341796	1.379199015			1.495728144	1.669187798	1.613207547	1.26893886	1.210526316	1.333333333	1.252649363			1.270407138				1.186046512			1.333333333	1.402108666				1.214285714	1.499998539		1.800995025				1.465853659	1.526315789				1.909090909				1.354335508	1.46875												1.345306713				1.428571429		1.705882353					1.30833928				1.265534251	1.358318407					1.454545455	1.261609136	1.393939394		1.204819277	1.402984873			1.252805986	2.1			1.282647616		1.392787785				1.659969909		1.271330342			1.273684211		1.48791597		1.225531915	1.356910959		1.24674245	1.294117647			1.429494451	1.222222222	1.225806452	1.301104972	1.261222041		1	1.562739049	1.363636364	1.42684033				1.203966957	1.242595774		1.415060321	1.254758132	1.29787234		1.355960265	1.356831034	1.187463896							1.312544871			1.343965199		1.257057819	1.26		1.329113924	1.438607774	1.202734049				1.23902092	1.344707029		1.172284644		1.238095238		1.5	1.620940494		1.302333539			1.364722291	1.279733634	1.232833758	
eel	Bacteroides thetaiotaomicron	1.128486426	1.081903299	1.222222222	1.279569892	1.211866568	1.166748328	1.191999522	1.127838016	1.226666724	1.255611924	1.08618084	1.310467437	1.113207547	1.214559387	1.301851678	1.141414141	1.537037037	1.438660533	1.197723168	1.092051406	1.165850086	1	1.348863924		1.276828464	1.0625	1.296675937	1.286447322	1.189189189	1.245702598	1.33272859	1.211336032	1.058823529	1.206960879	1.204261057	1.310810811	1.393011315	1.419354839	1.47826087	1.274725275	1.30685725	1	1.238888889	1.11638456	1.605042017	1.164102564	1.135991445	1.328850847	1.567567568	1.136363636	1.4	1.308210225	1.176966246	1.25	1.102776223	1.13748191	1.109161866	1.112953671	1.503983207	1.121700584	1.242512479	1.19574145	1.167630058	1.312135042	1.373333333	1.311301138	1.198412698	1.217821782	1.439033736	1.357142857	1.473430877	1.590909091	1.400003263	1.19047619		1.153333333		1.14451581	1.237303564	1.232379059	1.213367756	1.082014563	1.132586368	1.182449495	1.362487523	1.235294118	1.25	1.134733158	1.277916552	1.191860465	1.178168022	1.578116331	1.5	1.218181818	1.122427811	1.126898894	1.153846154	1.425226146	1.195117683		1.178257196	1.291133229	1.232559769	1.327910974	1.379888268	1.346938776	1.196498054	1.288434601	1.4	1.278846154	1.197183099	1.37585555	1.149805439	1.6	1.694214733	1.350825091	1.603538676	1.212978369	1.361684519	1.285714286		1.338332881	1.5	1.445527017	1.244734738	1.184585491	1.418604651	1.34210629	1.260896912	1.161444369	1.168483229	1.26984127	1.538911224			1.14957161	1.287596233	1.365576652	1.287234043	1.430920098	1.231164149	1.27027027	1.819604444	1.285714286	1.3498963	1.909090909	1.291004591	1.283333333	1.323966977	1.642276423	1.260688143	1.192307692	1.301768805	1.182140924	1.28519648	1.37565018	1.334530714	1.258218162	1.150825533	1.09463511		1.284471411		1.251578578	1.324382964		1.278057492	1.138631305	1.168976152	1.1875	1.300884956	1.254689382	1.4	1.148148148	1.198237885	1.113604822	1.243664051	1.135204592	1.146341463	1.4	1.190026047	1.241339129	1.2	1.411764706		1.157894737	1.054813862	1.22826087	1.102677303	1.170826046	1.239633832	1.446969697	1.227871998	1.308497847	1.338202936	1.319599888	1.090761659	1.157304639	1.489361702		1.230769231	1.278082727	1.056338028	1.2787777	1.128662078	1.257534247	1.168088434	1.109687561	1.139534884	1.124513944	1.275507102	1.195958537	1.12617612	1.384358475	1.339822878	1.169481926	1.179038733	1.25	1.175810016	1.394067936	1.342945763	1.202702703	1.685330231	1.331508166				1.428571429	1.375568953	1.254715867	1.135	1.571428571	1.283721312	1.200461772	1.184985538	1.101030118	1.223300971	1.457041127	1.765511898	1.306862555		1.383489509	1.385924283	1.448765284	1.285714286	1.18193422		1.472972973	1.355368635	1.722222222	1.480209999	1.602678571	1.374097052	1.369747899	1.572544577	1.353658537	1.666666667	1.311610646		1.504738124	1.318181818	1.333333333	1.249885294	1.251573631	1.34121576	1	1.257678823		1.118061018	1.271186441	1.253602305	1.333333333	1.104826905	1.0857779	1.197379027	1.12751693	1.140746609	1.264367816		1.055591828	1.473684211	1.225806452	1.319616336	1.199189957	1.327147215	1.343645192	1.236486486	1.134643775	1.235419514	1.274692549	1.113930526	1.240065786	1.285714286	1.373989523	1.402597403		1.245357281	1.192503304	1.135003361	1.15123933	1.140140415	1.284431166		1.196428571	1.24	1.2633969	1.085714286	1.176120102	1.217437188	1.148148148	1.68627451	1.327413576	1.402390438	1.19928472	1.279276635	1.42318515	1.125411515	1.21572286	1.083327728	1.243989149	1.223030323	1.167507509	1.174672342	1.06737008	1.228249658	1.100632999	1.154929577	1.27199572	1.244640261	1.257294387	1.191098225	1.28164557	1.24	1.171428571	1.15071388	1.206320607	1.176470588	1.102918705	1.145920863	1.213516384	1.180555556	1.215227667	1.322892546	1.117631436			1.151953482	1.225760826	1.284712248	1.198226452	1.16483148	1.221071758	1.484986334	1.437213074	1.466121203	1.11620768	1.188893604		1.290697674	1.233171628	1.226534467	1.212308387	1.260976437
vpr	Bacteroides vulgatus	1.167777778	1	1.325009228	1.315320334	1.325088339	1.196993772	1.249914995	1.219610723	1.127081976	1.230846373	1.198396794	1.321325824	1.122718053	1.215473731	1.265454545	1.14558004	1.631364691	1.259432788	1.179567237	1.234275003	1.295743092	1.07250342	1.453790614	1.028880244	1.266697896	1.298017126	1.499990067	1.208672087	1.161251504	1.253941246	1.225412778	1.200044465	1.253253253	1.339080905	1.172161488	1.369275947	1.341110508	1.310239239	1.264239627	1.334453782	1.230541872	1.468460218	1.222188995	1.227861771	1.432098966	1.343853239	1.170956077	1.308273304	1.602067487	1.24304036	1.227272727	1.328457862	1.219141439	1.30438786	1.1		1.258492715	1.074165296	1.576236834	1.291269841	1.273767198	1.175028951	1.267456111	1.324791247	1.36125	1.315674332	1.15349527	1.347283336	1.486480577	1.438199212	1.367125144	2.003351955	1.058583186	1.019865296	1.391304077	1.109140421	1.432684695	1.10841991	1.205388567	1.313235294	1.058359621	1.320909234	1.16520596	1.264503085	1.331687464	1.229075945	1.237991266	1.046435771	1.090324164	1.123474657	1.326579204	1.314814815	1.195402299	1.036607427	1.260215324	1.236574746	1.494159638	1.451957295	1.274957873	1.327160494	1.085148224	1.172122914	1.185421312	1.247108565	1.354056579	1.137615916	1.315162988	1.34974716	1.324039286	1.054893601	1.325641449	1.311081163	1.034112178	1.342442357	1.40877193	1.385306267	1.588320675	1.210552928	1.303509122	1.276292281	1.407337287	1.197151397	1.617647059	1.418887482	1.223921329	1.171147628	1.53259575	1.387194221	1.283770526	1.261325503	1.218284361	1.323119777	1.501390369	1.383141762	2.018329939	1.382655988	1.229998314	1.415859894	1.25013845	1.192150956	1.415562341	1.296598481	1.417973063	1.256743817	1.338861451	1.643279876	1.246364254	1.364395012	1.308575693	1.631601048	1.323193945	1.175866608	1.453900709	1.08622581	1.374345859	1.388610589	1	1.307453627	1.2116395		1.778227904	1.209809822	1.175799046	1.443927352	1.258168739	1.433106576	1.316525478	1.168131435	1.404223042	1.202254214	1.453132498	1.196536966	1.566738517	1.01033107	1.100157098	1.194382219	1.405982835	1.260575477	1.219924331	1.445923378	1.290540739	1	1.001689189	1.321836107	1.87804878	1.181306546	1.434503668	1.200858067	1.277585623	1.215816178	1.350863568	1.353989705	1.142860426	1.362868884	1.387657182	1.404807109	1.149182547		1.497401633	1.241182454	1.313927359	1.21296317	1.146694056	1.307217141	1.25992449	1.220673487	1.045943738	1.152271339	1.349437691	1.358458196	1.364169784	1.289189744	1.25366571	1.310856372	1.318053914	1.301848385	1.161959898	1.446640316	1.281578443	1.400453015	1.263779528	1.224568515	1.845218447	1.315088677		1.273901809	1.762289587	1.749437154	1.673003802	1.39380531	1.211516464	1.617791663	1.519828027	1.405589748	1.183763402	1.167868867	1.256207675	1.160072057	1.46852274	1.322334718	1.525425232	1.388316151	1.337471208	1.392344498	1.474203702	1.154228856	1.489120513	1.458225225	1.206313815	1.792154757	1.781028504	1.633413134	1.539245821	1.280938743	1.40053062	1.118962913	1.9806807	1.297447102	1.159148704	1.583333333	1.229365018	1.208888458	1.304994838	1.319575719		1.153412471	1.395040628	1.386513239	1.128524218	1.204123202	1	1.428341575	1.26199471	1.06322019		1.217918351	1.176388123	1.243916882	1.876428216	1.153422253	1.4437108	1.295562981	1.41211104	1.102329281	1.298063871	1.370084267	1.177081194		1.278862619	1.270400906	1.109021803	1.229789204	1.278482725	1.010369532	1.165300479	1.158852326	1.004888795	1.269893297	1.090521364	1.158809878	1.32980047	1.313251554	1.318034233	1.231253657	1.219895077	1.386044807	1.221634658	1.154121862	1.542937185	1.013349336	1.210433312	1.339828946	1.113255183	1.188926065	1.227684358	1.277825225	1.291050347	1.083273936	1.182552504	1.02935849	1.264846015	1.191145572	1.223514186	1.274557925	1.182631475	1.017448019	1.187622608	1.119310061	1.239545559	1.347115237	1.014071167	1.343278008	1.363901567	1.287858252	1	1.246070924	1.265957447	1.263509175	1.387755102	1.229157015	1.021009165	1.0136466	1.054842432	1.124010541	1.5	1.277777778	1.06148733	1.320142467	1.37120518	1.18154262	1.192052098	1.260550459	1.355594432	1.452846141	1.204190363	1	1.289115493	1.792623545	1.395568345	1.312913409	1.34112824	1.108960862	1.42192097
mhg	Bacteroides xylanisolvens		1.138938292	1.122796744	1.151612903	1.1	1.134337209	1.098208569		1.131578947			1.143990833	1.265240698	1.084216308				1.174560483	1.085106383		1.051821896		1.000004666			1.048583718			1.356060825		1.052604711	1.15919811	1.218829835	1.253462927	1.134239109			1.104477612	1.269230769		1.194226486				1.134328358			1.116913711	1.2	1.131835472	1.180308053				1			1.13973384							1.116990606	1.114020816	1.219227096	1.064488544	1.332415489	1.28559623		1.377391536	1.200477324			1.040160643			1.252769386		1.005847953	1.029467532	1.108486129			1.238018228		1.058761538			1.162037037			1	1.117818723	1	1.201869177		1.425741269		1.065485453	1.026438569	1.131454688	1.109036969	1.083333333	1.254901961						1.203252033	1.126292105		1.3		1.362149776		1.289215686	1.234323432		1.163539672		1.334387852	1.159950536	1.480519481	1.17699115		1.147713259			1.151515152	1.163773339	1.185677888		1.017034732					1.06557377		1.276622382	1.161290323			1	1.206470316	1.136085824	1.199367089	1.203188119	1.068410375	1.119047619	1.285987202		1.14102971		1.257622199	1.204600352					1.109195205	1.198638795	1.077047905		1.154110375	1.161030226	1.030806515	1.187127442	1.235	1.150943396			1.083916084		1.039109634	1.243902439	1.088235294		1.177481628						1.043501504	1.056237545	1.142330823	1.200845442		1.134847621	1.152621723			1.285261459		1.216216216		1.161641636	1.218489576	1.180645161	1.080214943	1.179832078	1.142452109					1.058135609	1.201105442	1.041236506		1.101722241	1.176401543	1.203273283			1.195637272				1.146522282		1.333333333		1.166666667	1.101951765	1.259682182			1.159128272	1.126990498	1.08988764					1.046153846	1.078218257	1.142857143	1.221680068			1.093048258		1.174496644		1.200799641							1.25	1.09375			1.04379562			1.000878941	1.159151409		1.074626866		1.340363709	1.178333333	1.109622017	1.181818182	1.303361441						1.125001566	1.113918964			1.198330783		1.136117984	1.151276092	1.119981003		1	1.36077753		1.123221023		1.160962466	1.206645868		1.108674817	1.03584265		1.182061727	1.015013546					1.038095238	1.031234636		1.239985401	1.122242531	1.144342137		1.137796655	1.088063604	1.191093579					1.181578557	1.156770165				1.25938109		1.052762301	1.077753087		1.187597761	1.080197529		1.174958729	1.115789474	1.135676181	1.114732653		1.150797463			1.069455263			1.131884695			1.146789129				1.166666667	1.183430309	1.316702386	1.182608696		1.097638379	1.160410436			1.042219142	1.059500793	1.00282237	1.195965417
ele	Bifidobacterium adolescentis													1.2								1.084311633	1.125						1.081081081							1.05																		1.180180516				1																					1.159090909								1.016008533			1.249958073											1.050201097						1.108610805									1.25							1.166666667															1.12324577			1.12195122		1.2											1.157894737	1.137916031																		1.142857143	1					1.05566564																	1.009895783						1.25		1.199606356							1.0625			1.210526316	1.2	1.043269152						1.168674699								1.315789474						1.161702128											1.149994482							1.210526316						1.172442717		1.143939314						1.038461538												1.000294797	1.176927797						1.074601262	1								1			1.003187165												1	1.155378547			1.151586638			1.024684345				1.067554178	1																					1.126294034								1.083596845											1.10370366	
gpa	Bifidobacterium bifidum									1.111111111	1.222222222										1.129032258								1.203703704				1.25																							1.2																																1.12962963						1.071428571			1.126760563				1.125														1.207070707																1.130434783		1.166666667								1.222222222	1.192307692	1.155687904				1.221247249								1.192580912		1.148148148							1.117774758									1	1.138095238										1.092307944																1.2																						1.160837464						1.304347826			1.230769231						1.165726843											1.375		1.153426598		1.381269683	1.256035856	1.244343891				1.516129032		1.162951543										1.274190227		1.178571429								1.133841132												1.173267997					1.25855792				1.285714286						1.125				1.166666667		1.227999022																		1.25	1.06825921		1.065517241					1.220657277					1.192377595	1.220149254					1.184686173					1.26				1.432432432				1.189159119	
